"time","weight"
2015-02-23,63
2015-02-24,62.6
2015-02-25,62.4
2015-02-26,63
2015-02-27,63
2015-02-28,62.6
2015-03-02,63
2015-03-03,63
2015-03-04,63.1
2015-03-05,62.9
2015-03-06,63.3
2015-03-08,63.6
2015-03-09,63.1
2015-03-11,63.5
2015-03-12,63.2
2015-03-13,63.4
2015-03-16,64.5
2015-03-17,63.9
2015-03-18,64.8
2015-03-19,64.4
2015-03-20,63.8
2015-03-21,63.5
2015-03-23,64.5
2015-03-25,64
2015-03-26,64.4
2015-03-28,63.7
2015-03-30,63.4
2015-03-31,64
2015-04-01,63.8
2015-04-03,63.8
2015-04-05,64.5
2015-04-06,64
2015-04-07,64.3
2015-04-08,64.3
2015-04-09,64.3
2015-04-10,64.1
2015-04-13,64
2015-04-14,64.1
2015-04-15,64
2015-04-16,64.5
2015-04-17,64.5
2015-04-18,64.3
2015-04-20,65.3
2015-04-21,64.7
2015-04-22,64.1
2015-04-23,64.1
2015-04-24,64.5
2015-04-25,64.8
2015-04-26,64.9
2015-04-27,64.7
2015-04-28,65.1
2015-04-29,65.2
2015-05-01,64.8
2015-05-03,64.8
2015-05-04,65
2015-05-05,65
2015-05-06,64.5
2015-05-07,64.9
2015-05-08,65
2015-05-09,64.6
2015-05-10,64.6
2015-05-12,64.7
2015-05-13,64.7
2015-05-14,64.5
2015-05-16,63.5
2015-05-17,64.2
2015-05-18,64.7
2015-05-19,64.7
2015-05-20,64.7
2015-05-21,63.9
2015-05-22,64.3
2015-05-23,63.9
2015-05-24,63.6
2015-05-26,64.1
2015-05-28,63.9
2015-05-30,64
2015-06-01,65
2015-06-02,64
2015-06-03,64.5
2015-06-04,63.5
2015-06-05,63.4
2015-06-07,63.1
2015-06-08,63.6
2015-06-09,63.6
2015-06-10,63.4
2015-06-11,63.7
2015-06-13,63.4
2015-06-14,63.2
2015-06-15,63.1
2015-06-16,62.7
2015-06-17,63.2
2015-06-19,62.3
2015-06-20,63.6
2015-06-21,63.8
2015-06-22,63.7
2015-06-23,63.3
2015-06-24,62.7
2015-06-26,63
2015-06-28,62.5
2015-06-29,62.5
2015-06-30,62.6
2015-07-01,62.6
2015-07-02,62.9
2015-07-05,62.7
2015-07-07,63.5
2015-07-08,62.8
2015-07-09,63.1
2015-07-10,63.2
2015-07-11,63.4
2015-07-12,63.4
2015-07-13,62.9
2015-07-14,63.1
2015-07-15,63
2015-07-16,63.4
2015-07-17,63.3
2015-07-18,63.3
2015-07-20,63.3
2015-07-21,63.6
2015-07-22,63
2015-07-24,62.1
2015-07-25,63.1
2015-07-27,64.4
2015-07-28,63.9
2015-07-29,63.7
2015-07-30,63.4
2015-07-31,63.1
2015-08-01,63.9
2015-08-02,63.9
2015-08-03,63.9
2015-08-05,62.6
2015-08-06,63.4
2015-08-07,63.3
2015-08-08,64
2015-08-10,64
2015-08-11,63.4
2015-08-12,62.8
2015-08-13,63.3
2015-08-14,63.9
2015-08-15,64.2
2015-08-16,63.8
2015-08-17,63.8
2015-08-18,63.6
2015-08-19,64
2015-08-20,63.4
2015-08-21,63.5
2015-08-22,63.7
2015-08-23,63.6
2015-08-24,63.7
2015-08-25,63.5
2015-08-26,63.6
2015-08-29,63.7
2015-08-30,64
2015-08-31,63.5
2015-09-01,63.4
2015-09-04,63.3
2015-09-05,63.1
2015-09-06,63.5
2015-09-07,63.7
2015-09-08,63.2
2015-09-09,63.6
2015-09-10,62.6
2015-09-11,63.3
2015-09-12,63
2015-09-13,63.3
2015-09-14,63.7
2015-09-15,63.4
2015-09-16,63
2015-09-17,63.7
2015-09-18,63.3
2015-09-19,63
2015-09-20,63.3
2015-09-21,63.2
2015-09-22,63.2
2015-09-23,62.9
2015-09-24,62.4
2015-09-25,62
2015-09-26,61.4
2015-09-27,61.8
2015-09-28,62.8
2015-09-29,62.4
2015-09-30,62.4
2015-10-01,61.8
2015-10-02,61.8
2015-10-03,62.6
2015-10-04,62.7
2015-10-05,62.4
2015-10-06,62.5
2015-10-07,62.2
2015-10-08,62.4
2015-10-10,61.8
2015-10-13,63.3
2015-10-14,63.6
2015-10-15,62.8
2015-10-16,62.9
2015-10-17,62.8
2015-10-19,63.1
2015-10-20,63.8
2015-10-21,63.3
2015-10-22,63.4
2015-10-23,63.2
2015-10-24,63.4
2015-10-25,63.8
2015-10-26,63.8
2015-10-28,63.9
2015-10-29,62.6
2015-10-30,63.1
2015-10-31,63.8
2015-11-01,64.1
2015-11-02,63.4
2015-11-04,64.1
2015-11-06,64.6
2015-11-07,64.2
2015-11-08,64.1
2015-11-09,63.9
2015-11-10,63.4
2015-11-11,64
2015-11-12,63.3
2015-11-13,62.9
2015-11-14,63.8
2015-11-15,63.3
2015-11-16,62.9
2015-11-17,63.3
2015-11-18,64
2015-11-19,63.4
2015-11-20,63.4
2015-11-22,63.5
2015-11-23,63.4
2015-11-24,64
2015-11-25,64.4
2015-11-26,63.6
2015-11-27,64.6
2015-11-28,63.6
2015-11-29,64.3
2015-11-30,63.3
2015-12-01,63.4
2015-12-02,64.4
